Location Name,Operating Hours,Concatenated Address,Brand Name
Valley Point,8:00 AM to 7:00 PM (Daily),"Valley Point, 491 River Valley Road, #01-07/08, Singapore (248371)",85 Redhill
Westgate,10:00 AM to 8:30 PM (Daily),"Westgate, 3 Gateway Dr, #B2-K13/14, Singapore (608532)",85 Redhill
White Sands,9:00 AM to 8:30 PM (Daily),"White Sands, 1 Pasir Ris Central St 3, #B1-K12 13, Singapore (518457)",85 Redhill
East Point Mall,9:00 AM to 9:00 PM (Daily),"East Point Mall, 3 Simei street 6  , #B1-16, Singapore (528833)",85 Redhill
Sun Plaza,7:30 AM to 9 PM (Daily),"Sun Plaza, 30 Sembawang Dr, #B1-43, Singapore (757713)",85 Redhill
"Mount Alvernia Hospital, SG Hawker",9:00 AM to 7:00 PM (Daily),"Mount Alvernia Hospital, SG Hawker, 820 Thomson Rd, #01-33, Singapore (574623)",85 Redhill
Millenia Walk,8:00 AM to 8:00 PM (Daily),"Millenia Walk, 9 Raffles Boulevard, #01-91B, Singapore (039596)",EAT
City Square Mall,9:00 AM to 9:00 PM (Daily),"City Square Mall, 180 Kitchener Rd, , Singapore (208539)",EAT
Tiong Bahru Plaza,9:30 AM to 9:30 PM (Daily),"Tiong Bahru Plaza, 302 Tiong Bahru Rd, #B1-140, Singapore (168732)",EAT
Harbourfront Centre,8:00 AM to 8:00 PM (Daily),"Harbourfront Centre, 1 Maritime Square, #01-84B, Singapore (099523)",EAT
Northpoint City,9:00 AM to 9:30 PM (Daily),"Northpoint City, 930 Yishun Ave 2, #B2-14, Singapore (769098)",EAT
Woodlands MRT,24H (Daily),"Woodlands MRT, 30 Woodlands Ave 2, #01-09, Singapore ( 738343)",EAT
Bedok Mall,9:30 AM to 9:30 PM (Daily),"Bedok Mall, 311 New Upper Changi Rd, #B2-K14, Singapore (467360)",EAT
Compass One,8.30 AM - 9.30 PM (Daily),"Compass One, 1 Sengkang Square, #B1-40, Singapore (545078)",EAT
Nex,9:00 AM to 9:30 PM (Daily),"Nex, 23 Serangoon Central, #01-59, Singapore (556083)",EAT
Century Square,9:00 AM to 9:00 PM (Daily),"Century Square, 2 Tampines Central 5, #B1-31, Singapore (529509)",EAT
PLQ Mall,9:00 AM to 9:00 PM (Daily),"PLQ Mall, 10 Paya Lebar Rd, #B2-K2, Singapore (409057)",EAT
The Woodleigh Mall,9:00 AM to 9:00 PM (Daily),"The Woodleigh Mall, 11 Bidadari Park Dr, #B1-K40, Singapore (367803)",EAT
Clementi Mall,8.30 AM - 9.30 PM (Daily),"Clementi Mall, 3155 Commonwealth Ave W, #B1 -17, Singapore (129588)",EAT
Jurong Point,24H (Daily),"Jurong Point, 1 Jurong West Central 2, #01-76, Singapore (648886)",EAT
IMM,9:00 AM to 9:00 PM (Daily),"IMM, 2 Jurong East Street 21, #01 -K08, Singapore (609601)",EAT
Rail Mall,24H (Daily),"Rail Mall, Upper Bukit Timah Rd, #380 Fuyong Estate, 436, Singapore (678040)",EAT
JEM,9:00 AM to 9:00 PM (Daily),"JEM, 50 Jurong Gateway Rd, #B1-K12, Singapore (608549)",EAT
Lot One,8.30 AM - 9.30 PM (Daily),"Lot One, 21 Choa Chu Kang Ave 4, #B1 - K3, Singapore (689812)",EAT
Bukit Panjang Integrated Transport Hub,8:00 AM to 8:00 PM (Daily),"Bukit Panjang Integrated Transport Hub, 15 Petir Rd, #01-57, Singapore (678270)",EAT
Star Vista,9:00 AM to 8:00 PM (Daily),"Star Vista, 1 Vista Exchange Green, #B1-38, Singapore (138617)",EAT
Square 2,WEEKDAY: 9:00 AM - 8:00 PM WEEKEND: 9:00 AM TO 7:00 PM,"Square 2, 10 Sinaran Dr, #04 -02F, Singapore (307506)",EAT
Forum Shopping Mall,7:00 AM to 7:00 PM (Daily),"Forum Shopping Mall, 583 Orchard Rd, #B1 - 31, Singapore (238884)",EAT
111 Somerset,8:00 AM to 8:00 PM (Daily),"111 Somerset, 111 Somerset Rd, #01 - 20, Singapore (238164)",EAT
